Edad simple;Sexo;Periodo;Total
1 año;Total;1 de abril de 2008;""
1 año;Total;1 de enero de 2008;490.146
1 año;Total;1 de octubre de 2007;""
1 año;Total;1 de julio de 2007;482.022
1 año;Total;1 de abril de 2007;""
1 año;Total;1 de enero de 2007;473.622
1 año;Total;1 de octubre de 2006;""
1 año;Total;1 de julio de 2006;467.434
1 año;Total;1 de abril de 2006;""
1 año;Total;1 de enero de 2006;461.565
1 año;Total;1 de octubre de 2005;""
1 año;Total;1 de julio de 2005;454.879
1 año;Total;1 de abril de 2005;""
1 año;Total;1 de enero de 2005;448.587
1 año;Total;1 de octubre de 2004;""
1 año;Total;1 de julio de 2004;436.813
1 año;Total;1 de abril de 2004;""
1 año;Total;1 de enero de 2004;425.499
1 año;Total;1 de octubre de 2003;""
1 año;Total;1 de julio de 2003;421.912
1 año;Total;1 de abril de 2003;""
1 año;Total;1 de enero de 2003;417.815
1 año;Total;1 de octubre de 2002;""
1 año;Total;1 de julio de 2002;408.472
1 año;Total;1 de abril de 2002;""
1 año;Total;1 de enero de 2002;398.110
1 año;Total;1 de octubre de 2001;""
1 año;Total;1 de julio de 2001;388.998
1 año;Total;1 de abril de 2001;""
1 año;Total;1 de enero de 2001;381.203
1 año;Total;1 de octubre de 2000;""
1 año;Total;1 de julio de 2000;374.462
1 año;Total;1 de abril de 2000;""
1 año;Total;1 de enero de 2000;367.441
1 año;Total;1 de octubre de 1999;""
1 año;Total;1 de julio de 1999;366.871
1 año;Total;1 de abril de 1999;""
1 año;Total;1 de enero de 1999;367.272
1 año;Total;1 de octubre de 1998;""
1 año;Total;1 de julio de 1998;364.473
1 año;Total;1 de abril de 1998;""
1 año;Total;1 de enero de 1998;361.471
1 año;Total;1 de octubre de 1997;""
1 año;Total;1 de julio de 1997;362.666
1 año;Total;1 de abril de 1997;""
1 año;Total;1 de enero de 1997;363.678
1 año;Total;1 de octubre de 1996;""
1 año;Total;1 de julio de 1996;366.254
1 año;Total;1 de abril de 1996;""
1 año;Total;1 de enero de 1996;368.962
1 año;Total;1 de octubre de 1995;""
1 año;Total;1 de julio de 1995;376.818
1 año;Total;1 de abril de 1995;""
1 año;Total;1 de enero de 1995;384.692
1 año;Total;1 de octubre de 1994;""
1 año;Total;1 de julio de 1994;390.608
1 año;Total;1 de abril de 1994;""
1 año;Total;1 de enero de 1994;396.256
1 año;Total;1 de octubre de 1993;""
1 año;Total;1 de julio de 1993;394.072
1 año;Total;1 de abril de 1993;""
1 año;Total;1 de enero de 1993;391.799
1 año;Total;1 de octubre de 1992;""
1 año;Total;1 de julio de 1992;391.398
1 año;Total;1 de abril de 1992;""
1 año;Total;1 de enero de 1992;390.592
1 año;Total;1 de octubre de 1991;""
1 año;Total;1 de julio de 1991;393.119
1 año;Total;1 de abril de 1991;""
1 año;Total;1 de enero de 1991;396.615
1 año;Total;1 de octubre de 1990;""
1 año;Total;1 de julio de 1990;400.058
1 año;Total;1 de abril de 1990;""
1 año;Total;1 de enero de 1990;404.169
1 año;Total;1 de octubre de 1989;""
1 año;Total;1 de julio de 1989;411.597
1 año;Total;1 de abril de 1989;""
1 año;Total;1 de enero de 1989;417.583
1 año;Total;1 de octubre de 1988;""
1 año;Total;1 de julio de 1988;423.801
1 año;Total;1 de abril de 1988;""
1 año;Total;1 de enero de 1988;429.817
1 año;Total;1 de octubre de 1987;""
1 año;Total;1 de julio de 1987;439.842
1 año;Total;1 de abril de 1987;""
1 año;Total;1 de enero de 1987;449.343
1 año;Total;1 de octubre de 1986;""
1 año;Total;1 de julio de 1986;460.021
1 año;Total;1 de abril de 1986;""
1 año;Total;1 de enero de 1986;469.656
1 año;Total;1 de octubre de 1985;""
1 año;Total;1 de julio de 1985;475.175
1 año;Total;1 de abril de 1985;""
1 año;Total;1 de enero de 1985;480.765
1 año;Total;1 de octubre de 1984;""
1 año;Total;1 de julio de 1984;496.109
1 año;Total;1 de abril de 1984;""
1 año;Total;1 de enero de 1984;511.275
1 año;Total;1 de octubre de 1983;""
1 año;Total;1 de julio de 1983;529.080
1 año;Total;1 de abril de 1983;""
1 año;Total;1 de enero de 1983;547.894
1 año;Total;1 de octubre de 1982;""
1 año;Total;1 de julio de 1982;558.887
1 año;Total;1 de abril de 1982;""
1 año;Total;1 de enero de 1982;569.351
1 año;Total;1 de octubre de 1981;""
1 año;Total;1 de julio de 1981;579.404
1 año;Total;1 de abril de 1981;""
1 año;Total;1 de enero de 1981;589.396
1 año;Total;1 de octubre de 1980;""
1 año;Total;1 de julio de 1980;605.517
1 año;Total;1 de abril de 1980;""
1 año;Total;1 de enero de 1980;621.851
1 año;Total;1 de octubre de 1979;""
1 año;Total;1 de julio de 1979;631.525
1 año;Total;1 de abril de 1979;""
1 año;Total;1 de enero de 1979;641.008
1 año;Total;1 de octubre de 1978;""
1 año;Total;1 de julio de 1978;651.935
1 año;Total;1 de abril de 1978;""
1 año;Total;1 de enero de 1978;662.489
1 año;Total;1 de octubre de 1977;""
1 año;Total;1 de julio de 1977;661.730
1 año;Total;1 de abril de 1977;""
1 año;Total;1 de enero de 1977;659.461
1 año;Total;1 de octubre de 1976;""
1 año;Total;1 de julio de 1976;666.788
1 año;Total;1 de abril de 1976;""
1 año;Total;1 de enero de 1976;675.750
1 año;Total;1 de octubre de 1975;""
1 año;Total;1 de julio de 1975;667.915
1 año;Total;1 de abril de 1975;""
1 año;Total;1 de enero de 1975;658.990
1 año;Total;1 de octubre de 1974;""
1 año;Total;1 de julio de 1974;659.970
1 año;Total;1 de abril de 1974;""
1 año;Total;1 de enero de 1974;659.007
1 año;Total;1 de octubre de 1973;""
1 año;Total;1 de julio de 1973;657.959
1 año;Total;1 de abril de 1973;""
1 año;Total;1 de enero de 1973;655.774
1 año;Total;1 de octubre de 1972;""
1 año;Total;1 de julio de 1972;649.400
1 año;Total;1 de abril de 1972;""
1 año;Total;1 de enero de 1972;640.493
1 año;Total;1 de octubre de 1971;""
1 año;Total;1 de julio de 1971;635.646
1 año;Total;1 de abril de 1971;""
1 año;Total;1 de enero de 1971;628.825
2 años;Total;1 de enero de 2024;351.051
2 años;Total;1 de octubre de 2023;343.486
2 años;Total;1 de julio de 2023;341.525
2 años;Total;1 de abril de 2023;341.502
2 años;Total;1 de enero de 2023;348.066
2 años;Total;1 de octubre de 2022;357.528
2 años;Total;1 de julio de 2022;359.826
2 años;Total;1 de abril de 2022;360.922
2 años;Total;1 de enero de 2022;360.497
2 años;Total;1 de octubre de 2021;365.052
2 años;Total;1 de julio de 2021;368.554
2 años;Total;1 de abril de 2021;373.112
2 años;Total;1 de enero de 2021;376.033
2 años;Total;1 de octubre de 2020;""
2 años;Total;1 de julio de 2020;389.181
2 años;Total;1 de abril de 2020;""
2 años;Total;1 de enero de 2020;402.245
2 años;Total;1 de octubre de 2019;""
