Total,Año,Edad
233998,1976,71
218589,1976,72
207382,1976,73
187445,1976,74
192882,1976,75
157861,1976,76
132753,1976,77
120101,1976,78
115737,1976,79
99583,1976,80
86695,1976,81
73199,1976,82
65855,1976,83
52646,1976,84
665373,1977,0
661730,1977,1
673422,1977,2
665179,1977,3
660596,1977,4
658147,1977,5
652917,1977,6
646808,1977,7
644353,1977,8
661437,1977,9
663821,1977,10
664610,1977,11
677851,1977,12
665468,1977,13
642808,1977,14
626294,1977,15
626649,1977,16
615296,1977,17
602894,1977,18
594011,1977,19
568347,1977,20
544520,1977,21
528642,1977,22
521764,1977,23
527284,1977,24
508996,1977,25
495358,1977,26
502937,1977,27
535897,1977,28
512647,1977,29
478954,1977,30
500123,1977,31
486645,1977,32
471989,1977,33
441286,1977,34
395555,1977,35
484718,1977,36
402549,1977,37
369784,1977,38
420444,1977,39
479800,1977,40
472357,1977,41
466116,1977,42
489625,1977,43
488876,1977,44
477888,1977,45
491258,1977,46
472030,1977,47
464046,1977,48
450512,1977,49
443487,1977,50
436854,1977,51
427164,1977,52
418563,1977,53
419698,1977,54
403961,1977,55
385163,1977,56
350634,1977,57
328537,1977,58
318829,1977,59
308271,1977,60
313971,1977,61
313929,1977,62
308391,1977,63
307286,1977,64
297421,1977,65
301664,1977,66
285657,1977,67
272008,1977,68
261499,1977,69
246874,1977,70
242273,1977,71
225429,1977,72
209652,1977,73
198268,1977,74
178562,1977,75
181501,1977,76
148362,1977,77
123551,1977,78
110998,1977,79
105523,1977,80
92760,1977,81
77915,1977,82
65101,1977,83
57469,1977,84
644379,1978,0
662489,1978,1
661389,1978,2
671200,1978,3
663997,1978,4
661304,1978,5
658579,1978,6
653988,1978,7
648998,1978,8
646177,1978,9
663149,1978,10
666829,1978,11
666708,1978,12
679094,1978,13
666658,1978,14
643538,1978,15
626566,1978,16
624396,1978,17
613368,1978,18
601122,1978,19
592008,1978,20
566142,1978,21
541665,1978,22
525282,1978,23
517851,1978,24
523060,1978,25
505442,1978,26
491827,1978,27
500835,1978,28
534310,1978,29
511174,1978,30
477937,1978,31
499221,1978,32
486055,1978,33
471897,1978,34
441194,1978,35
395666,1978,36
484101,1978,37
402465,1978,38
369845,1978,39
420250,1978,40
479893,1978,41
471886,1978,42
465786,1978,43
488959,1978,44
488163,1978,45
477218,1978,46
488927,1978,47
470501,1978,48
462879,1978,49
448998,1978,50
441876,1978,51
435042,1978,52
425229,1978,53
416558,1978,54
416928,1978,55
401268,1978,56
381912,1978,57
347380,1978,58
325482,1978,59
315558,1978,60
305185,1978,61
310552,1978,62
310288,1978,63
304442,1978,64
302741,1978,65
292628,1978,66
295285,1978,67
279579,1978,68
265838,1978,69
254792,1978,70
239606,1978,71
233312,1978,72
216610,1978,73
200778,1978,74
188940,1978,75
169485,1978,76
170426,1978,77
138927,1978,78
114430,1978,79
99379,1978,80
95812,1978,81
83698,1978,82
69547,1978,83
57431,1978,84
625320,1979,0
641008,1979,1
660731,1979,2
661928,1979,3
669090,1979,4
662894,1979,5
662073,1979,6
659031,1979,7
655063,1979,8
651205,1979,9
648205,1979,10
664869,1979,11
669790,1979,12
668794,1979,13
680355,1979,14
667798,1979,15
644218,1979,16
626748,1979,17
622064,1979,18
611372,1979,19
599334,1979,20
590016,1979,21
563923,1979,22
538787,1979,23
521930,1979,24
513913,1979,25
518803,1979,26
501900,1979,27
488282,1979,28
498736,1979,29
532676,1979,30
509685,1979,31
476916,1979,32
498297,1979,33
485459,1979,34
471740,1979,35
441038,1979,36
395725,1979,37
483427,1979,38
402297,1979,39
369863,1979,40
420001,1979,41
479878,1979,42
471320,1979,43
465325,1979,44
488188,1979,45
487373,1979,46
476458,1979,47
486393,1979,48
468803,1979,49
461480,1979,50
447292,1979,51
440154,1979,52
432993,1979,53
423091,1979,54
414374,1979,55
413978,1979,56
398387,1979,57
378488,1979,58
343928,1979,59
322050,1979,60
312072,1979,61
301827,1979,62
306994,1979,63
306313,1979,64
300185,1979,65
297818,1979,66
287558,1979,67
288552,1979,68
273176,1979,69
259122,1979,70
247796,1979,71
231890,1979,72
223915,1979,73
207414,1979,74
191433,1979,75
179315,1979,76
160311,1979,77
158961,1979,78
129324,1979,79
105164,1979,80
93210,1979,81
86350,1979,82
74672,1979,83
61464,1979,84
592227,1980,0
621851,1980,1
638742,1980,2
659213,1980,3
663305,1980,4
667042,1980,5
661803,1980,6
662871,1980,7
659508,1980,8
656170,1980,9
653430,1980,10
650259,1980,11
666606,1980,12
672780,1980,13
670894,1980,14
681538,1980,15
668903,1980,16
644846,1980,17
626905,1980,18
619739,1980,19
609426,1980,20
597544,1980,21
588017,1980,22
561721,1980,23
535931,1980,24
518602,1980,25
509991,1980,26
514544,1980,27
498374,1980,28
484765,1980,29
496606,1980,30
531018,1980,31
508212,1980,32
475875,1980,33
497409,1980,34
484858,1980,35
471588,1980,36
440907,1980,37
395781,1980,38
482637,1980,39
402091,1980,40
369869,1980,41
419658,1980,42
479784,1980,43
470680,1980,44
464743,1980,45
487309,1980,46
486535,1980,47
475642,1980,48
483789,1980,49
466996,1980,50
459936,1980,51
445520,1980,52
438174,1980,53
430884,1980,54
420854,1980,55
412019,1980,56
410937,1980,57
395409,1980,58
374892,1980,59
340266,1980,60
318672,1980,61
308442,1980,62
298327,1980,63
303240,1980,64
302084,1980,65
295858,1980,66
292713,1980,67
282290,1980,68
281630,1980,69
266575,1980,70
252336,1980,71
240537,1980,72
224050,1980,73
214515,1980,74
197991,1980,75
181815,1980,76
169619,1980,77
151049,1980,78
147576,1980,79
119917,1980,80
96172,1980,81
84664,1980,82
77230,1980,83
66214,1980,84
574934,1981,0
589396,1981,1
619341,1981,2
636689,1981,3
657835,1981,4
664801,1981,5
665078,1981,6
661258,1981,7
663668,1981,8
660019,1981,9
657606,1981,10
654823,1981,11
651464,1981,12
668325,1981,13
675782,1981,14
671292,1981,15
682701,1981,16
668554,1981,17
644196,1981,18
626006,1981,19
617701,1981,20
607594,1981,21
595849,1981,22
586213,1981,23
559885,1981,24
533709,1981,25
516130,1981,26
506087,1981,27
510312,1981,28
495842,1981,29
481239,1981,30
494434,1981,31
529360,1981,32
506897,1981,33
474930,1981,34
496488,1981,35
484186,1981,36
471187,1981,37
440529,1981,38
395517,1981,39
481824,1981,40
401550,1981,41
369778,1981,42
419337,1981,43
479630,1981,44
469715,1981,45
464170,1981,46
486413,1981,47
485642,1981,48
474348,1981,49
480964,1981,50
464955,1981,51
458307,1981,52
443410,1981,53
436146,1981,54
428540,1981,55
418423,1981,56
409502,1981,57
407639,1981,58
392077,1981,59
371090,1981,60
336540,1981,61
315089,1981,62
304481,1981,63
294992,1981,64
299194,1981,65
297672,1981,66
290678,1981,67
287348,1981,68
276147,1981,69
274450,1981,70
259119,1981,71
245123,1981,72
232173,1981,73
215199,1981,74
204656,1981,75
187901,1981,76
172086,1981,77
159122,1981,78
140884,1981,79
136274,1981,80
94074,1981,81
87205,1981,82
75721,1981,83
68292,1981,84
57260,1981,85
46068,1981,86
36849,1981,87
30233,1981,88
23524,1981,89
19692,1981,90
15342,1981,91
11535,1981,92
7998,1981,93
5391,1981,94
4115,1981,95
2930,1981,96
1992,1981,97
1405,1981,98
1270,1981,99
549898,1982,0
569351,1982,1
589416,1982,2
619747,1982,3
636787,1982,4
658518,1982,5
665809,1982,6
665862,1982,7
661874,1982,8
664305,1982,9
660550,1982,10
657778,1982,11
654517,1982,12
650933,1982,13
667340,1982,14
673506,1982,15
668348,1982,16
680207,1982,17
665289,1982,18
640940,1982,19
622986,1982,20
615711,1982,21
606092,1982,22
594296,1982,23
584750,1982,24
558796,1982,25
532810,1982,26
515365,1982,27
505306,1982,28
509366,1982,29
495374,1982,30
480421,1982,31
493762,1982,32
528252,1982,33
505979,1982,34
474104,1982,35
495864,1982,36
483436,1982,37
470309,1982,38
439674,1982,39
394713,1982,40
480518,1982,41
400345,1982,42
368775,1982,43
418251,1982,44
478150,1982,45
468101,1982,46
462587,1982,47
484582,1982,48
483751,1982,49
472374,1982,50
478511,1982,51
462863,1982,52
455921,1982,53
440994,1982,54
433930,1982,55
426111,1982,56
415840,1982,57
406932,1982,58
404257,1982,59
388832,1982,60
367576,1982,61
333094,1982,62
311130,1982,63
300580,1982,64
290529,1982,65
294207,1982,66
292123,1982,67
284881,1982,68
280949,1982,69
269502,1982,70
266655,1982,71
251361,1982,72
236579,1982,73
223498,1982,74
206365,1982,75
194791,1982,76
178615,1982,77
162156,1982,78
149387,1982,79
131341,1982,80
125006,1982,81
85477,1982,82
78520,1982,83
68016,1982,84
59715,1982,85
50099,1982,86
39710,1982,87
31353,1982,88
25069,1982,89
19321,1982,90
15815,1982,91
12453,1982,92
9104,1982,93
6132,1982,94
4076,1982,95
3080,1982,96
2154,1982,97
1471,1982,98
1071,1982,99
511235,1983,0
547894,1983,1
568909,1983,2
590063,1983,3
620840,1983,4
637386,1983,5
659669,1983,6
666753,1983,7
666650,1983,8
662488,1983,9
664891,1983,10
661094,1983,11
657550,1983,12
654197,1983,13
650404,1983,14
665883,1983,15
670177,1983,16
665359,1983,17
676920,1983,18
661954,1983,19
637657,1983,20
619986,1983,21
614124,1983,22
604574,1983,23
592778,1983,24
583311,1983,25
557677,1983,26
531872,1983,27
514603,1983,28
505169,1983,29
509079,1983,30
494879,1983,31
479562,1983,32
493385,1983,33
527245,1983,34
505009,1983,35
473264,1983,36
495277,1983,37
482656,1983,38
469399,1983,39
438751,1983,40
393818,1983,41
479136,1983,42
399105,1983,43
367583,1983,44
416965,1983,45
476373,1983,46
466369,1983,47
460762,1983,48
482589,1983,49
481556,1983,50
470242,1983,51
476011,1983,52
460550,1983,53
453282,1983,54
438361,1983,55
431591,1983,56
423394,1983,57
412889,1983,58
403932,1983,59
400921,1983,60
385163,1983,61
363572,1983,62
329178,1983,63
307149,1983,64
296373,1983,65
285808,1983,66
288843,1983,67
286275,1983,68
278392,1983,69
274093,1983,70
262049,1983,71
258528,1983,72
242600,1983,73
227530,1983,74
213619,1983,75
196381,1983,76
184896,1983,77
167948,1983,78
151957,1983,79
138286,1983,80
120620,1983,81
114180,1983,82
90194,1983,83
70256,1983,84
59382,1983,85
52178,1983,86
42510,1983,87
33154,1983,88
25735,1983,89
20200,1983,90
15188,1983,91
12586,1983,92
9579,1983,93
6824,1983,94
4405,1983,95
2919,1983,96
2302,1983,97
1529,1983,98
1102,1983,99
480918,1984,0
511275,1984,1
546449,1984,2
568633,1984,3
590718,1984,4
621951,1984,5
637962,1984,6
660832,1984,7
667701,1984,8
667456,1984,9
663140,1984,10
665490,1984,11
661636,1984,12
657348,1984,13
653872,1984,14
649847,1984,15
664332,1984,16
666792,1984,17
662306,1984,18
673570,1984,19
658593,1984,20
634339,1984,21
616935,1984,22
612477,1984,23
603027,1984,24
591178,1984,25
581825,1984,26
556564,1984,27
530941,1984,28
513824,1984,29
504978,1984,30
508762,1984,31
494360,1984,32
478699,1984,33
492974,1984,34
526154,1984,35
503999,1984,36
472364,1984,37
494581,1984,38
481783,1984,39
468408,1984,40
437792,1984,41
392892,1984,42
477639,1984,43
397780,1984,44
366290,1984,45
415586,1984,46
474447,1984,47
464522,1984,48
458859,1984,49
480396,1984,50
479240,1984,51
468006,1984,52
473431,1984,53
458147,1984,54
450432,1984,55
435540,1984,56
429099,1984,57
420524,1984,58
409730,1984,59
400657,1984,60
397199,1984,61
381263,1984,62
359388,1984,63
325063,1984,64
302823,1984,65
291916,1984,66
280759,1984,67
282974,1984,68
280002,1984,69
271790,1984,70
266660,1984,71
254445,1984,72
249685,1984,73
233734,1984,74
217933,1984,75
203790,1984,76
186408,1984,77
174056,1984,78
157536,1984,79
140940,1984,80
127758,1984,81
110483,1984,82
98909,1984,83
80714,1984,84
61728,1984,85
51872,1984,86
44459,1984,87
35958,1984,88
27533,1984,89
20921,1984,90
15968,1984,91
11884,1984,92
9635,1984,93
7254,1984,94
5085,1984,95
3179,1984,96
2030,1984,97
1651,1984,98
976,1984,99
469612,1985,0
480765,1985,1
511899,1985,2
545156,1985,3
568443,1985,4
591426,1985,5
623103,1985,6
638578,1985,7
662038,1985,8
668661,1985,9
668265,1985,10
663785,1985,11
666077,1985,12
662148,1985,13
657442,1985,14
653511,1985,15
649239,1985,16
662697,1985,17
663356,1985,18
659198,1985,19
670182,1985,20
655181,1985,21
630985,1985,22
613890,1985,23
610867,1985,24
601478,1985,25
589602,1985,26
580351,1985,27
555454,1985,28
530002,1985,29
513030,1985,30
504760,1985,31
508451,1985,32
493826,1985,33
477807,1985,34
492518,1985,35
525035,1985,36
502957,1985,37
471423,1985,38
493859,1985,39
480872,1985,40
467391,1985,41
436785,1985,42
391914,1985,43
476039,1985,44
396359,1985,45
364925,1985,46
414125,1985,47
472424,1985,48
462522,1985,49
456714,1985,50
478139,1985,51
476782,1985,52
465585,1985,53
470637,1985,54
455511,1985,55
447461,1985,56
432552,1985,57
426241,1985,58
417331,1985,59
406282,1985,60
397075,1985,61
393104,1985,62
377059,1985,63
354838,1985,64
320657,1985,65
298155,1985,66
287076,1985,67
275470,1985,68
276877,1985,69
273261,1985,70
264655,1985,71
258879,1985,72
246155,1985,73
240513,1985,74
224311,1985,75
207966,1985,76
193562,1985,77
175959,1985,78
163255,1985,79
146684,1985,80
130143,1985,81
116921,1985,82
95936,1985,83
92234,1985,84
71370,1985,85
53909,1985,86
44484,1985,87
37644,1985,88
29791,1985,89
22289,1985,90
16590,1985,91
12413,1985,92
9055,1985,93
7321,1985,94
5441,1985,95
3742,1985,96
2278,1985,97
1440,1985,98
1209,1985,99
451281,1986,0
469656,1986,1
481131,1986,2
512669,1986,3
543918,1986,4
568259,1986,5
592134,1986,6
624288,1986,7
639203,1986,8
663211,1986,9
669634,1986,10
669067,1986,11
664411,1986,12
666675,1986,13
662665,1986,14
657514,1986,15
653094,1986,16
648564,1986,17
661049,1986,18
659858,1986,19
656078,1986,20
666808,1986,21
651741,1986,22
627621,1986,23
610812,1986,24
609225,1986,25
599900,1986,26
587991,1986,27
578863,1986,28
554322,1986,29
529039,1986,30
512219,1986,31
504543,1986,32
508122,1986,33
493272,1986,34
476862,1986,35
491995,1986,36
523900,1986,37
501885,1986,38
470421,1986,39
493078,1986,40
479905,1986,41
466265,1986,42
435659,1986,43
390845,1986,44
474434,1986,45
394907,1986,46
363477,1986,47
412562,1986,48
470222,1986,49
460394,1986,50
454507,1986,51
475645,1986,52
474048,1986,53
462916,1986,54
467570,1986,55
452666,1986,56
444152,1986,57
429309,1986,58
423160,1986,59
413870,1986,60
402594,1986,61
393243,1986,62
388756,1986,63
372516,1986,64
349985,1986,65
315841,1986,66
293087,1986,67
281896,1986,68
269851,1986,69
270024,1986,70
266074,1986,71
256831,1986,72
250320,1986,73
237246,1986,74
230578,1986,75
214146,1986,76
197265,1986,77
182446,1986,78
164802,1986,79
151707,1986,80
135086,1986,81
118772,1986,82
105634,1986,83
89580,1986,84
81353,1986,85
62081,1986,86
45976,1986,87
37312,1986,88
31116,1986,89
23913,1986,90
17461,1986,91
12740,1986,92
9341,1986,93
6579,1986,94
5407,1986,95
3976,1986,96
2647,1986,97
1547,1986,98
1035,1986,99
432682,1987,0
449343,1987,1
470239,1987,2
481597,1987,3
513488,1987,4
542726,1987,5
568086,1987,6
592866,1987,7
625469,1987,8
639854,1987,9
664413,1987,10
670632,1987,11
669892,1987,12
665044,1987,13
667247,1987,14
663152,1987,15
657523,1987,16
652596,1987,17
647757,1987,18
659285,1987,19
656490,1987,20
652923,1987,21
663379,1987,22
648287,1987,23
624208,1987,24
607696,1987,25
607575,1987,26
598294,1987,27
586339,1987,28
577329,1987,29
553132,1987,30
528037,1987,31
511397,1987,32
504293,1987,33
507756,1987,34
492657,1987,35
475877,1987,36
491429,1987,37
522698,1987,38
500714,1987,39
469382,1987,40
492273,1987,41
478882,1987,42
465096,1987,43
434513,1987,44
389727,1987,45
472711,1987,46
393358,1987,47
361916,1987,48
410930,1987,49
467881,1987,50
458127,1987,51
452187,1987,52
473061,1987,53
471297,1987,54
460261,1987,55
464439,1987,56
449666,1987,57
440703,1987,58
425848,1987,59
419808,1987,60
410213,1987,61
398736,1987,62
389268,1987,63
384078,1987,64
367798,1987,65
344980,1987,66
310952,1987,67
287785,1987,68
276528,1987,69
264035,1987,70
263129,1987,71
258487,1987,72
248992,1987,73
241747,1987,74
228447,1987,75
220352,1987,76
204140,1987,77
186934,1987,78
171724,1987,79
154094,1987,80
140195,1987,81
124343,1987,82
108216,1987,83
95351,1987,84
80060,1987,85
71186,1987,86
53927,1987,87
38881,1987,88
31310,1987,89
25399,1987,90
19446,1987,91
13861,1987,92
9840,1987,93
6942,1987,94
4852,1987,95
3901,1987,96
2936,1987,97
1932,1987,98
996,1987,99
420692,1988,0
429817,1988,1
447948,1988,2
470910,1988,3
482090,1988,4
514351,1988,5
541558,1988,6
567942,1988,7
593634,1988,8
626661,1988,9
640539,1988,10
665638,1988,11
671609,1988,12
670711,1988,13
665674,1988,14
667781,1988,15
663564,1988,16
657457,1988,17
652023,1988,18
646894,1988,19
657424,1988,20
653720,1988,21
649819,1988,22
659856,1988,23
644759,1988,24
620749,1988,25
604529,1988,26
605860,1988,27
596650,1988,28
584660,1988,29
575755,1988,30
551899,1988,31
526958,1988,32
510491,1988,33
503998,1988,34
507350,1988,35
492013,1988,36
474847,1988,37
490851,1988,38
521418,1988,39
499513,1988,40
468270,1988,41
491383,1988,42
477755,1988,43
463827,1988,44
433241,1988,45
388486,1988,46
470881,1988,47
391667,1988,48
360302,1988,49
409140,1988,50
465465,1988,51
455744,1988,52
449671,1988,53
470229,1988,54
468455,1988,55
457374,1988,56
461087,1988,57
446399,1988,58
437035,1988,59
422149,1988,60
416203,1988,61
406299,1988,62
394574,1988,63
384913,1988,64
379145,1988,65
362664,1988,66
339566,1988,67
305651,1988,68
282236,1988,69
270655,1988,70
257780,1988,71
255822,1988,72
250472,1988,73
240626,1988,74
232659,1988,75
219148,1988,76
210004,1988,77
193572,1988,78
175954,1988,79
160280,1988,80
142869,1988,81
128663,1988,82
113223,1988,83
97534,1988,84
85039,1988,85
70563,1988,86
61768,1988,87
46145,1988,88
32602,1988,89
25826,1988,90
20506,1988,91
15403,1988,92
10771,1988,93
